Customer Name,Sales,Profit,Frequency,Segment
Anthony Rawles,4523.336,494.83519999999993,13,Medium Value
Anthony Witt,649.376,65.77250000000001,8,Low Value
Arianne Irving,4375.786,867.7271000000001,18,Medium Value
Art Ferguson,2052.908,317.9712,16,Medium Value
Art Foster,861.565,-163.1175,7,Low Value
Arthur Gainer,4510.797,343.6824,21,Medium Value
Arthur Prichep,3323.556,579.3113,31,Medium Value
Arthur Wiediger,2852.968,-104.5486,16,Medium Value
Ashley Jarboe,1839.24,521.1351999999999,10,Low Value
Astrea Jones,629.2479999999999,60.4265,5,Low Value
Barbara Fisher,599.798,227.4384,13,Low Value
Barry Blumstein,744.3399999999999,11.583900000000007,8,Low Value
Barry Franz,1333.88,-291.38109999999995,10,Low Value
Barry Französisch,2888.506,302.02,21,Medium Value
Barry Gonzalez,2798.948,-711.4274,12,Medium Value
Barry Pond,983.42,209.78300000000002,7,Low Value
Barry Weirich,385.516,-58.28659999999999,3,Low Value
Bart Folk,272.95,110.9272,6,Low Value
Bart Pistole,2442.044,433.9751,20,Medium Value
Bart Watters,4750.358,921.2574,17,Medium Value
Becky Castell,2933.676,251.5974,18,Medium Value
Becky Martin,11789.63,-1659.9580999999998,16,High Value
Becky Pak,1697.8609999999999,647.3847000000001,11,Low Value
Ben Ferrer,5907.972,1538.2127,27,High Value
Ben Peterman,3675.861,363.5991,18,Medium Value
Ben Wallace,1738.406,246.9973,10,Low Value
Benjamin Farhat,1585.162,523.2133,8,Low Value
Benjamin Patterson,1181.49,-197.2695,6,Low Value
Benjamin Venier,1523.2730000000001,315.2214,14,Low Value
Berenike Kampe,659.1379999999999,-63.764399999999995,16,Low Value
Beth Fritzler,791.9899999999999,25.870199999999997,4,Low Value
Beth Paige,2475.157,-319.0637,16,Medium Value
Beth Thompson,2567.656,417.5918,9,Medium Value
Bill Donatelli,5718.521,1094.5037,19,High Value
Bill Eplett,4204.676,1487.7739000000001,9,Medium Value
Bill Overfelt,2682.728,278.77700000000004,12,Medium Value
Bill Shonely,10501.653,2616.0643999999998,9,High Value
Bill Stewart,3887.834,-17.532200000000024,13,Medium Value
Bill Tyler,2186.6130000000003,257.9163,10,Medium Value
Bobby Elias,2261.438,755.9150999999999,5,Medium Value
Bobby Odegard,130.83,59.4522,2,Low Value
Bobby Trafton,603.876,-77.5256,7,Low Value
Brad Eason,1727.652,139.20080000000002,13,Low Value
Brad Norvell,265.296,36.6131,6,Low Value
Brad Thomas,415.19599999999997,126.8694,3,Low Value
Bradley Drucker,4411.2429999999995,1142.1225,10,Medium Value
Bradley Nguyen,1459.344,340.7054,17,Low Value
Bradley Talbott,2684.4919999999997,409.4983,10,Medium Value
Brenda Bowman,6765.728,1015.0749999999999,20,High Value
Brendan Dodson,320.54,116.714,4,Low Value
Brendan Murry,808.162,95.58160000000001,10,Low Value
Brendan Sweed,2454.928,381.7807,10,Medium Value
Brian Dahlen,3288.471,634.8463,20,Medium Value
Brian DeCherney,1538.11,206.75689999999997,8,Low Value
Brian Derr,582.646,141.53400000000002,5,Low Value
Brian Moss,7294.185,2199.2781,29,High Value
Brian Stugart,3288.1099999999997,238.73680000000002,11,Medium Value
Brian Thompson,3196.752,447.74839999999995,20,Medium Value
Brooke Gillingham,1874.172,107.5715,8,Low Value
Brosina Hoffman,6255.351,802.7898,24,High Value
Bruce Degenhardt,1526.5,333.9791,10,Low Value
Bruce Geld,1006.356,119.34790000000001,7,Low Value
Bruce Stewart,2562.382,-113.29840000000003,14,Medium Value
Bryan Davis,658.466,141.265,10,Low Value
Bryan Mills,1338.842,137.7439,14,Low Value
Bryan Spruell,949.4300000000001,194.0516,8,Low Value
Candace McMahon,1673.888,214.463,10,Low Value
Cari Sayre,1278.954,185.3776,8,Low Value
Cari Schnelling,537.632,105.8275,7,Low Value
Carl Jackson,16.52,1.652,1,Low Value
Carl Ludwig,1262.0140000000001,328.0847,7,Low Value
Carl Weiss,1136.592,370.8298,11,Low Value
Carlos Daly,2033.968,426.661,9,Medium Value
Carlos Meador,565.392,-43.732400000000005,4,Low Value
Carlos Soltero,3036.547,-126.4223,22,Medium Value
Carol Adams,3789.7228,1143.3817,10,Medium Value
Carol Darley,639.766,-206.7172,6,Low Value
Carol Triggs,3241.898,161.22629999999995,18,Medium Value
Caroline Jumper,11164.974,858.7414,20,High Value
Cassandra Brandow,6076.139,150.2089,26,High Value
Catherine Glotzbach,904.4680000000001,86.5106,9,Low Value
Cathy Armstrong,1679.7240000000002,211.2559,10,Low Value
Cathy Hwang,1537.236,195.15109999999999,4,Low Value
Cathy Prescott,5402.254,427.0258,14,High Value
Chad Cunningham,1770.945,208.5912,13,Low Value
Chad McGuire,1661.6100000000001,409.0679,7,Low Value
Chad Sievert,884.64,143.8339,7,Low Value
Charles Crestani,2471.65,392.2825,11,Medium Value
Charles McCrossin,2533.314,-394.3686,7,Medium Value
Charles Sheldon,844.4580000000001,113.1405,8,Low Value
Charlotte Melton,1475.144,91.2033,7,Low Value
Chloris Kastensmidt,3154.855,141.2831,32,Medium Value
Chris Cortes,3913.418,393.9618,22,Medium Value
Chris McAfee,2305.712,365.0387,8,Medium Value
Chris Selesnick,2754.216,738.3626,28,Medium Value
Christina Anderson,2648.2872,279.6183,17,Medium Value
Christina DeMoss,1205.584,233.0274,13,Low Value
Christina VanderZanden,2830.6279999999997,493.0861,13,Medium Value
Christine Abelman,1421.954,246.02179999999998,11,Low Value
Christine Kargatis,2945.321,261.22090000000003,12,Medium Value
Christine Phan,5888.275,-1850.3029000000001,15,High Value
Christine Sundaresam,3202.1620000000003,831.9432,22,Medium Value
Christopher Conant,12129.072000000002,2177.0493,11,High Value
Christopher Martinez,8954.019999999999,3899.8903999999998,10,High Value
Christopher Schild,3651.8585000000003,-342.80330000000004,14,Medium Value
Christy Brittain,1949.2,272.3883,12,Low Value
Chuck Clark,2870.05,424.6583,19,Medium Value
Chuck Magee,287.99,64.4296,9,Low Value
Chuck Sachs,550.644,156.2593,6,Low Value
Cindy Chapman,1659.438,154.851,13,Low Value
Cindy Schnelling,1077.2285,-302.8761,9,Low Value
Cindy Stewart,5690.054999999999,-6626.389499999999,9,High Value
Claire Gute,1148.7800000000002,169.93439999999998,5,Low Value
Claudia Bergmann,4246.4555,1049.5601,19,Medium Value
Clay Cheatham,113.832,33.870599999999996,4,Low Value
Clay Ludtke,10880.546,1933.7830999999999,28,High Value
Clay Rozendal,2148.852,74.40129999999999,6,Medium Value
Clytie Kelty,2372.75,497.70980000000003,25,Medium Value
Corey Catlett,2540.631,331.434,12,Medium Value
Corey Roper,475.9,144.7594,4,Low Value
Corey-Lock,1300.076,205.62820000000002,8,Low Value
Corinna Mitchell,6339.5576,1572.4585,10,High Value
Craig Carreira,2269.7015,187.8399,14,Medium Value
Craig Carroll,2854.1150000000002,850.1591,12,Medium Value
Craig Leslie,2353.586,229.00990000000002,8,Medium Value
Craig Molinari,3984.4524,176.3108,13,Medium Value
Craig Reiter,1600.55,306.9176,6,Low Value
Craig Yedwab,2900.026,60.64670000000001,11,Medium Value
Cyma Kinney,1582.109,-338.4311,14,Low Value
Cynthia Arntzen,3041.566,204.48950000000002,17,Medium Value
Cynthia Delaney,1860.732,403.8422,15,Low Value
Cynthia Voltz,2370.3136,98.99749999999999,19,Medium Value
Cyra Reiten,1397.8724,83.27029999999999,7,Low Value
Damala Kotsonis,3256.48,881.1228000000001,27,Medium Value
Dan Campbell,3336.168,-1441.6312999999998,18,Medium Value
Dan Lawera,1503.112,322.2449,14,Low Value
Dan Reichenbach,6528.034000000001,1641.8613,24,High Value
Dana Kaydos,4282.176,937.6496,15,Medium Value
Daniel Byrd,2171.599,431.3748,12,Medium Value
Daniel Lacy,3272.2,4.213200000000029,14,Medium Value
Daniel Raglin,8350.868,2869.0759999999996,13,High Value
Dario Medina,1322.034,108.7583,9,Low Value
Darren Budd,2839.2272,213.00289999999998,14,Medium Value
Darren Koutras,1687.04,-107.35379999999998,8,Low Value
Darren Powers,1050.636,241.4524,17,Low Value
Darrin Martin,6345.103,1677.3931,20,High Value
Darrin Sayre,1762.213,193.3319,19,Low Value
Darrin Van Huff,1119.483,-427.184,9,Low Value
Dave Brooks,4531.646,473.0272,13,Medium Value
Dave Hallsten,4932.872,1193.7404,23,Medium Value
Dave Kipp,2650.557,536.3935,13,Medium Value
Dave Poirier,2215.002,563.1761,14,Medium Value
David Bremer,2973.094,-1421.7692,14,Medium Value
David Flashing,2390.534,-259.3097,6,Medium Value
David Kendrick,797.832,249.9447,5,Low Value
David Philippe,1058.616,-40.93759999999999,4,Low Value
David Smith,2881.8128,163.6993,20,Medium Value
David Wiener,1080.751,-86.87379999999999,9,Low Value
Dean Braden,2332.577,169.9679,21,Medium Value
Dean Katz,4802.394,209.89940000000004,19,Medium Value
Dean percer,7198.7609999999995,333.36479999999995,29,High Value
Deanra Eno,2550.874,464.47139999999996,9,Medium Value
Deborah Brumfield,4655.897,841.8263999999999,13,Medium Value
Debra Catini,1174.618,132.06820000000002,7,Low Value
Deirdre Greer,3195.818,562.7761,8,Medium Value
Delfina Latchford,1458.258,288.8732,17,Low Value
Denise Leinenbach,585.02,222.6812,8,Low Value
Denise Monton,4074.4719999999998,1319.0586,13,Medium Value
Dennis Bolton,1081.466,291.0085,6,Low Value
Dennis Kane,3318.486,377.0799,23,Medium Value
Dennis Pardue,5480.723999999999,1571.8318,14,High Value
Denny Blanton,1711.692,438.9092,14,Low Value
Denny Joy,2012.52,483.03499999999997,5,Medium Value
Denny Ordway,1300.0315,-38.90860000000001,13,Low Value
Dianna Arnett,156.76,56.7904,8,Low Value
Dianna Vittorini,3341.587,353.2127,15,Medium Value
Dianna Wilson,5271.628,1348.7556,11,High Value
Dionis Lloyd,3539.322,-52.78799999999997,12,Medium Value
Don Jones,2501.6879999999996,345.2521,13,Medium Value
Don Miller,1376.792,199.7688,10,Low Value
Don Weiss,344.08,69.6672,9,Low Value
Dorothy Badders,3908.8028,109.32700000000001,14,Medium Value
Dorothy Dickinson,269.542,36.4344,9,Low Value
Dorothy Wardle,1204.854,-266.8966,10,Low Value
Dorris liebe,755.602,175.2388,6,Low Value
Doug Bickford,1989.05,438.80119999999994,11,Low Value
Doug Jacobs,3356.398,731.5644,8,Medium Value
Doug O'Connell,1267.316,294.0676,11,Low Value
Duane Benoit,1155.202,177.67350000000002,10,Low Value
Duane Huffman,1043.096,116.667,11,Low Value
Duane Noonan,2139.79,540.5405000000001,11,Medium Value
Ed Braxton,3644.978,13.621500000000005,12,Medium Value
Ed Jacobs,2162.174,387.0176,8,Medium Value
Ed Ludwig,124.28,27.1154,2,Low Value
Edward Becker,3236.314,-80.28599999999999,20,Medium Value
Edward Hooks,10310.880000000001,1393.5154,32,High Value
Edward Nazzal,2199.366,496.1131,9,Medium Value
Eileen Kiefer,1303.478,97.10659999999999,4,Low Value
Eleni McCrary,2567.0099999999998,-133.8275,7,Medium Value
Elizabeth Moffitt,2339.598,682.5541999999999,16,Medium Value
Ellis Ballard,4358.128,656.1988,8,Medium Value
Elpida Rittenbach,1245.788,-295.7398,5,Low Value
Emily Burns,2767.219,261.5315,11,Medium Value
Emily Ducich,3484.92,670.4435000000001,14,Medium Value
Emily Grady,1832.02,104.2656,9,Low Value
Emily Phan,5478.0608,144.9578,31,High Value
Eric Barreto,944.6000000000001,0.6042000000000058,7,Low Value
Eric Hoffmann,684.1709999999999,53.53980000000001,17,Low Value
Eric Murdock,933.704,102.29599999999999,6,Low Value
Erica Bern,1643.255,162.8781,6,Low Value
Erica Hackney,825.9499999999999,150.3759,8,Low Value
Erica Hernandez,1219.53,-94.14079999999997,11,Low Value
Erica Smith,3510.4579999999996,1003.2935,8,Medium Value
Erin Ashbrook,2846.705,-52.74059999999998,25,Medium Value
Erin Creighton,461.914,96.4256,7,Low Value
Erin Mull,228.99,40.15459999999999,6,Low Value
Erin Smith,4657.924,246.6661,20,Medium Value
Eudokia Martin,1041.0420000000001,240.2362,10,Low Value
Eugene Barchas,3071.126,184.7656,11,Medium Value
Eugene Hildebrand,3082.653,96.27019999999999,18,Medium Value
Eugene Moren,4588.436000000001,1319.3655,21,Medium Value
Eva Jacobs,2656.691,451.87550000000005,8,Medium Value
Evan Bailliet,1186.326,282.1701,7,Low Value
Evan Henry,923.884,242.1107,8,Low Value
Evan Minnotte,366.822,21.7721,4,Low Value
Filia McAdams,2456.638,249.6808,15,Medium Value
Frank Atkinson,2984.054,520.5229,17,Medium Value
Frank Carlisle,3418.742,1217.1662000000001,14,Medium Value
Frank Gastineau,1383.144,394.73969999999997,11,Low Value
Frank Hawley,4256.272,1073.2676,21,Medium Value
Frank Merwin,3736.198,198.10949999999997,20,Medium Value
Frank Olsen,2678.438,215.59689999999998,15,Medium Value
Frank Preis,4046.746,406.44730000000004,14,Medium Value
Fred Chung,3889.366,714.2926,10,Medium Value
Fred Harton,2271.284,706.289,14,Medium Value
Fred Hopkins,6987.196,2050.2826,13,High Value
Fred McMath,2523.266,191.4898,14,Medium Value
Fred Wasserman,79.75,23.491300000000003,3,Low Value
Gary Hansen,2819.4669999999996,-576.8335,17,Medium Value
Gary Hwang,4172.8460000000005,1176.4181,10,Medium Value
Gary McGarr,3582.8199999999997,347.266,11,Medium Value
Gary Mitchum,3078.624,793.2814000000001,12,Medium Value
Gary Zandusky,4355.150000000001,1087.7539,14,Medium Value
Gene Hale,1361.2440000000001,-95.4498,3,Low Value
Gene McClure,1255.682,441.3185,13,Low Value
George Ashbrook,3919.7760000000003,840.899,14,Medium Value
George Bell,1568.44,7.837100000000003,20,Low Value
George Zrebassa,2454.6220000000003,828.661,5,Medium Value
Georgia Rosenberg,1284.38,359.83320000000003,5,Low Value
Giulietta Baptist,4716.288,1135.8393,16,Medium Value
Giulietta Dortch,1888.07,230.93729999999996,6,Low Value
Giulietta Weimer,2189.019,-268.54229999999995,9,Medium Value
Grace Kelly,6497.27,1448.5525,14,High Value
Grant Thornton,9351.212,-4108.6589,6,High Value
Greg Guthrie,2224.0,12.698500000000008,24,Medium Value
Greg Hansen,146.94080000000002,-5.810200000000001,3,Low Value
Greg Matthias,3163.628,35.48649999999999,11,Medium Value
Greg Maxwell,6049.966,188.7235,11,High Value
Greg Tran,11820.119999999999,2163.4269,29,High Value
Guy Armstrong,1398.382,136.70790000000002,22,Low Value
Guy Phonely,236.53,31.837600000000002,5,Low Value
Guy Thornton,226.436,-6.139200000000002,7,Low Value
Hallie Redmond,1299.288,185.5794,13,Low Value
Harold Dahlen,251.36,-135.87599999999998,7,Low Value
Harold Engle,883.5319999999999,274.4028,11,Low Value
Harold Pawlan,1990.314,373.8637,10,Low Value
Harold Ryan,5248.787,1196.9504,14,High Value
Harry Greene,785.628,147.0032,10,Low Value
Harry Marie,8236.7648,2437.9836,20,High Value
Heather Jas,358.1,98.6548,6,Low Value
Heather Kirkland,4877.784,956.9451,15,Medium Value
Helen Abelman,2163.3,270.8574,10,Medium Value
Helen Andreada,2584.158,99.1445,18,Medium Value
Helen Wasserman,9300.254,2164.1611,20,High Value
Henia Zydlo,886.52,-130.3879,6,Low Value
Henry Goldwyn,3247.642,-2797.9635000000003,17,Medium Value
Henry MacAllister,736.276,117.2755,7,Low Value
Herbert Flentye,2533.1639999999998,-13.876799999999989,19,Medium Value
Hilary Holden,218.668,86.7342,6,Low Value
Hunter Glantz,3690.284,804.6113,11,Medium Value
Hunter Lopez,12873.297999999999,5622.4292000000005,11,High Value
Ionia McGrath,2872.63,975.7701,4,Medium Value
Irene Maddox,4930.474,514.6527,21,Medium Value
Ivan Gibson,744.574,320.4982,7,Low Value
Ivan Liston,5040.736,1121.937,14,High Value
Jack Garza,2358.676,684.1911,7,Medium Value
Jack Lebron,1214.956,-207.79559999999998,12,Low Value
Jack O'Briant,3254.949,581.4045,13,Medium Value
James Galang,6366.392,1415.6664,18,High Value
James Lanier,1571.523,209.2817,7,Low Value
Jamie Frazer,2279.5860000000002,575.1259,19,Medium Value
Jamie Kunitz,4427.142,1219.983,13,Medium Value
Jane Waco,7721.714,2173.7093999999997,14,High Value
Janet Lee,2203.7,54.51740000000002,10,Medium Value
Janet Martin,3159.1220000000003,19.82350000000004,19,Medium Value
Janet Molinari,1804.146,502.6143,13,Low Value
Jas O'Carroll,1934.272,202.13619999999997,11,Low Value
Jason Fortune-,955.124,97.28899999999999,14,Low Value
Jason Gross,2240.58,3.7976000000000063,11,Medium Value
Jason Klamczynski,383.812,55.32769999999999,4,Low Value
Jasper Cacioppo,71.263,-0.35560000000000036,4,Low Value
Jay Fein,1911.844,330.199,16,Low Value
Jay Kimmel,2709.632,330.2838,17,Medium Value
Jenna Caffey,1058.108,502.92440000000005,4,Low Value
Jennifer Braxton,1791.605,156.05319999999998,16,Low Value
Jennifer Ferguson,2371.448,635.6376,14,Medium Value
Jennifer Halladay,309.281,-24.077100000000005,7,Low Value
Jennifer Jackson,709.178,200.5558,6,Low Value
Jennifer Patt,1669.135,429.7465,15,Low Value
Jeremy Ellison,1388.682,276.2197,13,Low Value
Jeremy Farry,1082.918,-18.06730000000001,15,Low Value
Jeremy Lonsdale,3173.874,591.7163,17,Medium Value
Jeremy Pistek,3635.594,757.1802,16,Medium Value
Jessica Myrick,1733.443,356.5395,10,Low Value
Jesus Ocampo,1090.838,167.6709,11,Low Value
Jill Fjeld,4198.332,1073.2088,16,Medium Value
Jill Matthias,303.948,113.1204,7,Low Value
Jill Stevenson,1417.654,-175.54899999999998,8,Low Value
Jim Epp,7754.976,1623.4019,20,High Value
Jim Karlsson,3760.028,750.9485,12,Medium Value
Jim Kriz,4760.434,1172.5303,12,Medium Value
Jim Mitchum,864.947,117.20400000000001,12,Low Value
Jim Radford,1156.658,-785.1645,3,Low Value
Jim Sink,1131.0639999999999,-54.8692,11,Low Value
Jocasta Rupert,863.88,107.985,1,Low Value
Joe Elijah,8697.842999999999,1262.2926,22,High Value
Joe Kamberova,4867.2,55.0483,20,Medium Value
Joel Eaton,6760.8150000000005,221.79670000000002,23,High Value
Joel Jenkins,195.0,34.449200000000005,3,Low Value
John Castell,2772.055,279.56919999999997,16,Medium Value
John Dryer,2152.352,-266.55249999999995,7,Medium Value
John Grady,1507.018,206.1019,9,Low Value
John Huston,528.91,26.082199999999997,8,Low Value
John Lee,9799.923,228.907,34,High Value
John Lucas,2725.256,779.9046,11,Medium Value
John Murray,7625.076000000001,1574.6163999999999,13,High Value
John Stevenson,3868.02,564.9798000000001,9,Medium Value
Jonathan Doherty,7610.8640000000005,1050.2667999999999,32,High Value
Jonathan Howell,959.477,-13.554499999999996,9,Low Value
Joni Blumstein,900.552,-286.9808,8,Low Value
Joni Sundaresam,469.169,-327.9336,8,Low Value
Joni Wasserman,1244.086,-29.575899999999987,11,Low Value
Joseph Airdo,6491.026,-819.4217000000001,24,High Value
Joseph Holt,7954.9980000000005,-644.6982,14,High Value
Joy Bell-,644.1188,126.76490000000001,7,Low Value
Joy Daniels,385.43,26.7605,11,Low Value
Joy Smith,2516.494,-311.25749999999994,18,Medium Value
Julia Barnett,2518.115,201.51850000000002,9,Medium Value
Julia Dunbar,695.442,111.11410000000001,6,Low Value
Julia West,1428.731,154.06369999999998,7,Low Value
Juliana Krohn,3747.668,586.6625,9,Medium Value
Julie Creighton,858.576,201.5952,9,Low Value
Julie Kriz,2932.484,122.6566,17,Medium Value
Julie Prescott,1707.71,309.7116,13,Low Value
Justin Deggeller,8828.0305,1619.5199,17,High Value
Justin Ellison,2697.248,789.6476,7,Medium Value
Justin Hirsh,2256.3940000000002,-96.95300000000002,5,Medium Value
Justin MacKendrick,2833.9260000000004,754.1144,19,Medium Value
Justin Ritter,2201.686,452.37300000000005,10,Medium Value
Kalyca Meade,2260.958,635.1057000000001,19,Medium Value
Karen Bern,3152.6150000000002,763.9076,10,Medium Value
Karen Carlisle,2120.954,846.1217,10,Medium Value
Karen Daniels,8282.358,1107.6952000000003,16,High Value
Karen Ferguson,10604.266,1660.1386,18,High Value
Karen Seio,88.472,0.11099999999999888,4,Low Value
Karl Braun,1569.464,49.71929999999999,22,Low Value
Katharine Harms,3312.864,454.7871,18,Medium Value
Katherine Ducich,1888.964,328.5942,10,Low Value
Katherine Hughes,3100.612,528.2051,14,Medium Value
Katherine Murray,5620.186,973.7901999999999,20,High Value
Katherine Nockton,2617.272,-151.1518,17,Medium Value
Katrina Bavinger,908.821,274.297,9,Low Value
Katrina Edelman,1686.7312,397.87989999999996,15,Low Value
Katrina Willman,4416.5199999999995,1756.135,10,Medium Value
Kean Nguyen,2171.962,114.3083,8,Medium Value
Kean Takahito,3057.1,254.0032,14,Medium Value
Kean Thornton,4642.088400000001,194.0671,13,Medium Value
Keith Dawkins,8181.256,3038.6254,28,High Value
Keith Herrera,5952.859,656.1162,23,High Value
Kelly Andreada,1519.506,234.9194,11,Low Value
Kelly Collister,3908.262,709.4219,5,Medium Value
Kelly Lampkin,5016.488,-182.78130000000002,22,High Value
Kelly Williams,449.096,107.92699999999999,5,Low Value
Ken Black,2744.742,579.3551,23,Medium Value
Ken Brennan,983.922,293.55240000000003,9,Low Value
Ken Dana,2243.5099999999998,539.7219,13,Medium Value
Ken Heidel,3918.9660000000003,727.3786,17,Medium Value
Ken Lonsdale,14175.229000000001,806.855,29,High Value
Khloe Miller,453.538,91.1391,9,Low Value
Kimberly Carter,1146.05,156.7797,7,Low Value
Kristen Hastings,5990.799,1227.5091,15,High Value
Kristina Nunn,2280.58,329.76250000000005,15,Medium Value
Kunst Miller,4909.472,745.7685,28,Medium Value
Larry Blacks,50.188,18.6507,3,Low Value
Larry Hughes,287.426,12.627699999999999,3,Low Value
Larry Tron,329.876,59.036,3,Low Value
Laura Armstrong,8673.222,2059.1199,26,High Value
Laurel Beltran,4985.676,-52.19099999999998,24,Medium Value
Laurel Elliston,1469.45,161.76489999999998,9,Low Value
Laurel Workman,2238.061,32.5767,15,Medium Value
Lauren Leatherbury,2741.2039999999997,560.0078,12,Medium Value
Lela Donovan,5.304,0.4641,1,Low Value
Lena Cacioppo,2580.7039999999997,-188.25110000000004,30,Medium Value
Lena Creighton,7663.126,1288.3469,23,High Value
Lena Hernandez,2295.332,526.0727,15,Medium Value
Lena Radford,5142.892,535.4764,16,High Value
Linda Cazamias,4492.946,288.26599999999996,14,Medium Value
Linda Southworth,2845.27,-318.77369999999996,14,Medium Value
Lindsay Castell,3246.626,299.48019999999997,7,Medium Value
Lindsay Shagiari,2988.674,262.63669999999996,22,Medium Value
Lindsay Williams,3230.308,662.8339000000001,11,Medium Value
Lisa DeCherney,1961.934,557.1714,7,Low Value
Lisa Hazard,318.239,-242.73989999999998,6,Low Value
Lisa Ryan,1879.306,-382.8079,12,Low Value
Liz Carlisle,2095.064,86.77799999999999,9,Medium Value
Liz MacKendrick,1346.774,-44.87799999999999,7,Low Value
Liz Pelletier,756.606,110.7813,9,Low Value
Liz Preis,3653.399,338.44539999999995,15,Medium Value
Liz Thompson,2936.252,320.973,14,Medium Value
Liz Willingham,1259.04,192.6312,5,Low Value
Logan Currie,2633.582,231.12520000000004,19,Medium Value
Logan Haushalter,1739.689,316.5202,19,Low Value
Lori Olson,644.35,150.1712,9,Low Value
Luke Foster,3930.5089999999996,-3583.977,16,Medium Value
Luke Schmidt,1010.2560000000001,244.197,14,Low Value
Luke Weiss,5420.514,837.2411,15,High Value
Lycoris Saunders,368.88000000000005,39.1952,6,Low Value
Lynn Smith,1008.1360000000001,348.3584,12,Low Value
Magdelene Morse,1314.023,178.402,6,Low Value
Marc Crier,2725.982,461.0014,13,Medium Value
Marc Harrigan,2394.025,28.761200000000038,13,Medium Value
Maria Bertelson,1548.702,212.425,19,Low Value
Maria Etezadi,10663.728000000001,1859.4695,22,High Value
Maria Zettner,593.606,85.01910000000001,6,Low Value
Maribeth Dona,3766.382,-241.94999999999996,17,Medium Value
Maribeth Schnelling,7443.6900000000005,844.9354999999998,24,High Value
Maribeth Yedwab,2254.285,319.1211,13,Medium Value
Marina Lichtenstein,2722.843,684.9162,20,Medium Value
Maris LaWare,2921.5,-76.17550000000003,15,Medium Value
Mark Cousins,4432.138,1802.3903,10,Medium Value
Mark Haberlin,400.016,61.428599999999996,9,Low Value
Mark Hamilton,2456.1820000000002,484.77330000000006,11,Medium Value
Mark Packer,3206.132,600.2873,14,Medium Value
Mark Van Huff,1560.05,189.0258,15,Low Value
Mary O'Rourke,922.487,59.357699999999994,5,Low Value
Mary Zewe,2564.906,787.7503,10,Medium Value
MaryBeth Skach,475.65599999999995,84.0268,7,Low Value
Mathew Reese,639.178,162.9363,6,Low Value
Matt Abelman,4299.161,1240.2266,34,Medium Value
Matt Collins,1303.893,210.7493,11,Low Value
Matt Collister,2426.067,288.98409999999996,17,Medium Value
Matt Connell,2258.192,195.4486,18,Medium Value
